system:index,mean,name,.geo
20000101_0,0.7941765189170837,Baranquilla,
20000101_1,5.762016773223877,Bogota,
20000101_2,10.181078910827637,Cali,
20000101_3,35.35712432861328,Quidbo,
20000106_0,0.6742507219314575,Baranquilla,
20000106_1,7.664739608764648,Bogota,
20000106_2,16.678176879882812,Cali,
20000106_3,37.6941032409668,Quidbo,
20000111_0,0.47522440552711487,Baranquilla,
20000111_1,4.194412708282471,Bogota,
20000111_2,16.077327728271484,Cali,
20000111_3,84.95997619628906,Quidbo,
20000116_0,0.4431856572628021,Baranquilla,
20000116_1,5.111215114593506,Bogota,
20000116_2,9.495573997497559,Cali,
20000116_3,42.58028030395508,Quidbo,
20000121_0,0.41556018590927124,Baranquilla,
20000121_1,4.701381683349609,Bogota,
20000121_2,6.469956874847412,Cali,
20000121_3,29.066116333007812,Quidbo,
20000126_0,0.40915149450302124,Baranquilla,
20000126_1,17.96815299987793,Bogota,
20000126_2,17.908611297607422,Cali,
20000126_3,106.14642333984375,Quidbo,
20000201_0,0.306734174489975,Baranquilla,
20000201_1,6.513206958770752,Bogota,
20000201_2,8.57404899597168,Cali,
20000201_3,149.2406768798828,Quidbo,
20000206_0,0.5573568344116211,Baranquilla,
20000206_1,4.108707904815674,Bogota,
20000206_2,3.2082996368408203,Cali,
20000206_3,64.6427230834961,Quidbo,
20000211_0,0.16132645308971405,Baranquilla,
20000211_1,5.200876712799072,Bogota,
20000211_2,4.196556568145752,Cali,
20000211_3,89.77765655517578,Quidbo,
20000216_0,0.2936129868030548,Baranquilla,
20000216_1,15.722248077392578,Bogota,
20000216_2,31.79235076904297,Cali,
20000216_3,73.80940246582031,Quidbo,
20000221_0,0.39135435223579407,Baranquilla,
20000221_1,22.7237606048584,Bogota,
20000221_2,34.50697326660156,Cali,
20000221_3,194.42794799804688,Quidbo,
20000226_0,0.19644199311733246,Baranquilla,
20000226_1,18.13866424560547,Bogota,
20000226_2,11.730584144592285,Cali,
20000226_3,50.267982482910156,Quidbo,
20000301_0,0.42009401321411133,Baranquilla,
